Impact

Hemorrhage - Bullet












[AOW] Chilling Mist Bullet
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin]
[Black Knife Assassin] Bullet
[Black Knife Assassin] Bullet
[Black Knife Assassin] Bullet
[Black Knife Assassin] Destined Death
[Black Knife Assassin]
[Black Knife Assassin]
[Beast Clergyman] Bullet - Bestial Sling
[Beast Clergyman] Bullet - Stone of Gurranq
[Beast Clergyman] Bullet - Beast Claw
[Beast Clergyman] Bullet - Beast Claw
[Beast Clergyman]
[Beast Clergyman] Arm
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman] Bullet
[Beast Clergyman] Bullet
[Maliketh]
[Maliketh]
[Maliketh]
[Maliketh]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Maliketh]
[Maliketh]
[Maliketh]
[Maliketh] Bullet
[Maliketh]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Maliketh] Bullet
[Maliketh]
[Maliketh]
[Maliketh]
[Maliketh] Standing Omega Sword Beam
[Maliketh] Bullet
[Beast Clergyman]

[Beast Clergyman]
[Beast Clergyman]
[Maliketh]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Beast Clergyman]
[Maliketh] Roar
[Maliketh]
[Maliketh]
[Maliketh]
[Maliketh] Flip Double 1
[Maliketh] Flip Double 2
[Maliketh] Flip Double Finish Sword
[Maliketh] Flip Double Finish Body
[Maliketh]
[Maliketh]
[Beast Clergyman] Bullet
[Beast Clergyman] Bullet
[Beast Clergyman] Bullet
[Beast Clergyman]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia] Lunge
[Malenia] Lunge
[Malenia] Lunge
[Malenia] Lunge
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia] Scarlet Aeonia Landing
[Malenia] Bullet - Aeonia Bloom
[Malenia] Bullet - Aeonia DoT
[Malenia] Kick
[Malenia] Kick
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia] After Clone Charge
[Malenia] After Clone Charge
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia] Clone
[Malenia] Clone
[Malenia] Clone
[Malenia] Clone
[Malenia] Clone
[Malenia] Clone
[Malenia] Clone
[Malenia] Clone
[Malenia] Bullet
[Malenia] Bullet
[Malenia] Bullet

[Malenia] Bullet

[Malenia]
[Malenia]
[Malenia]
[Malenia]
[Malenia] Guard
[Morgott]
[Morgott]
[Morgott]
[Margit] Bullet - Floating Swords Fall
[Morgott] Bullet - Floating Swords Lingerfall

[Morgott] Slash
[Morgott] Holy Buff Slash
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott] Hammer
[Morgott] Hammer
[Morgott]

[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott] Bullet

[Morgott] Hammer
[Morgott] Hammer
[Morgott] Bullet - Puddle Explosion
[Morgott]
[Morgott]
[Morgott] Bleed Blade
[Morgott] Bullet
[Morgott] Bleed Blade
[Morgott] Bleed Blade
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott] Spear
[Morgott] Spear
[Morgott] Spear
[Morgott] Spear
[Morgott]
[Morgott]
[Morgott]
[Morgott] Hammer
[Morgott] Hammer
[Morgott]
[Morgott] Hammer
[Morgott] Hammer
[Morgott]
[Morgott] Hammer
[Morgott]
[Morgott] Hammer
[Morgott] Hammer
[Morgott]
[Morgott] Hammer
[Morgott] Hammer
[Morgott] Hammer
[Morgott]
[Morgott]
[Morgott] Phase Shift AoE
[Morgott] Phase Shift Puddle Explosion
[Morgott] Spear and Stick
[Morgott] Spear and Stick
[Morgott] Dagger
[Morgott]
[Morgott] Sword
[Morgott] Hammer
[Morgott] Hammer
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott] Spear
[Morgott] Spear
[Morgott] Spear
[Morgott] Spear
[Morgott]
[Morgott]
[Morgott] Spear
[Morgott] Spear
[Morgott] Spear
[Morgott] Spear
[Morgott]
[Morgott] Sword
[Morgott]
[Morgott] Sword
[Morgott]
[Morgott]
[Morgott] Sword
[Morgott] Sword
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott]
[Morgott] Bullet
[Morgott]
[Morgott]
[Margit]
[Margit]
[Margit] Dagger
[Margit] Dagger
[Margit]
[Margit]
[Margit]
[Margit] Thrust Slam
[Margit] Dagger
[Margit] Dagger
[Margit] Bullet
[Margit]
[Margit]
[Margit]
[Margit] Dagger
[Margit] Dagger
[Margit]
[Margit]
[Margit]
[Margit]
[Margit]
[Margit]
[Margit]
[Margit] Thrust Slam
[Margit] Tail
[Margit]
[Margit]
[Margit] Hammer Jump
[Margit] Bullet - Hammer Jump
[Margit] Floating Thrust Slam
[Morgott] Sword
[Morgott] Sword
[Morgott] Sword + Spear
[Margit] Sword
[Margit] Sword
[Margit] Sword
[Margit] Sword
[Margit] Thrust
[Margit] Thrust AoE Stab
[Margit] Spin Sword
[Margit] Spin Sword
[Margit] Spin
[Margit] Spin
[Margit] Sword Stab Down
[Margit] Dagger
[Margit] Dagger
[Margit] Dagger
[Margit] Dagger
[Morgott] Blood Grab
[Morgott]
[Morgott]
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Hug
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Fist
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Kick
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Bullet
[Omen] Kick
[Omen] Fist
[Omen] Fist
[Omen] Fist
[Omen] Body
[Omen] Fist
[Omen] Bullet
[Omen] Bullet
[Omen] Bullet
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Axe
[Omen] Body
[Omen] Axe
[Omen] Axe
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Fist
[Omen] Axe
[Omen] Axe
[Omen] Kick
[Omen] Axe
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Curved Sword
[Omen] Body
[Lightning Ball]
[Lightning Ball]
[Melina] Bullet
[Melina] Bullet
[Melina] Bullet
[Melina]
[Melina]
[Melina]
[Melina]
[Melina]
[Melina]
[Melina]
[Melina]
[Melina]
[Melina] Bullet
[Melina]
[Melina]
[Melina] Bullet
[Melina]
[Melina]
[Melina] Bullet
[Melina]
[Melina] Bullet
[Melina]
[Melina]
[Melina]
[Melina] Bullet
[Melina]
[Melina]
[Melina]
[Melina] Bullet
[Melina]
[Melina]
[Melina] Bullet
[Melina]
[Melina]

[Melina] Bullet
[Radagon]
[Radagon]
[Radagon]
[Radagon]
[Radagon]
[Radagon]
[Radagon]
[Radagon]
[Radagon]
[Radagon] Bullet
[Radagon]
[Radagon]
[Radagon]
[Radagon]
[Radagon]
[Radagon] Bullet
[Radagon]
[Radagon]
[Radagon]
[Radagon] Grab
[Radagon]
[Radagon]
[Radagon] Bullet
[Radagon] Bullet - Holy Spear
[Radagon] Bullet - Holy Spear AoE
[Radagon] Bullet - Holy Spear AoE 2
[Radagon] Stomp AoE Small
[Radagon] Stomp AoE Large
[Radagon]
[Radagon] Bullet - Flying Holy Slam
[Radagon]
[Radagon] Bullet
[Radagon] Bullet
[Radagon]
[Radagon] Bullet - Spear Placed
[Radagon] Bullet - Spear Placed Explode
[Radagon] Bullet - Spear Placed Linger
[Radagon] Bullet - Small Spear
[Radagon] Bullet - Small Spear Explode
[Radagon]
[Radagon] Bullet - Small Spear
[Radagon] Bullet - Small Spear Explode
[Radagon]
[Radagon] Bullet - Holy Ground Floor
[Radagon] Bullet - Holy Ground Floor
[Radagon]
[Radagon] Bullet - Holy Ground Floor
[Radagon] Bullet - Holy Ground Floor
[Radagon] Bullet - Large Spear
[Radagon] Bullet - Large Spear Impact
[Radagon] Bullet - Large Spear Explode
[Radagon] Bullet - Holy Stomp Attack
[Radagon] Bullet - Shattering Ground
[Radagon] Bullet - Shattering Ground 2

[Radagon] Bullet
[Radagon] Guard
[Radagon] Bullet - Hammer Shockwave
[Radagon] Bullet - Hammer Holy Shockwave
[Radagon] Bullet - Shattering AoE
[Radagon] Bullet - Warp AoE
[Elden Beast] Bullet - Hand Slam Explosion
[Elden Beast] Bullet
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Bullet
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Bullet
[Elden Beast] Sword
[Elden Beast] Bullet
[Elden Beast] Sword
[Elden Beast] Bullet - Swipe Wave Explode 1
[Elden Beast] Bullet - Swipe Wave Explode 2
[Elden Beast] Bullet
[Elden Beast] Bullet
[Elden Beast] Grab
[Elden Beast] Grab
[Elden Beast] Grab
[Elden Beast] Grab
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Sword
[Elden Beast] Bullet - Sword Beam 1
[Elden Beast] Bullet - Sword Beam 2
[Elden Beast] Bullet - Sword Beam 3
[Elden Beast] Bullet - Sword Beam 4
[Elden Beast] Bullet
[Elden Beast] Bullet - Sword Stab Explosion 1
[Elden Beast] Bullet - Sword Stab Explosion 2
[Elden Beast] Bullet
[Elden Beast] Bullet

[Elden Beast] Bullet - Explosion
[Elden Beast] Sword
[Elden Beast] Bullet
[Elden Beast] Bullet
[Elden Beast] Sword
[Elden Beast]
[Elden Beast] Bullet
[Elden Beast] Bullet
[Elden Beast] Bullet - Ring Push
[Elden Beast] Bullet
[Elden Beast]
[Elden Beast]
[Elden Beast] Bullet
[Elden Beast]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab] Bullet
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]
[Giant Crab]





[Giant Crab] Bullet
[Giant Crab] Bullet
[Giant Crab] Bullet
[Giant Crab] Bullet
[Giant Crab]
[Crab]
[Crab]
[Crab]
[Crab]
[Crab]
[Crab]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight] Shield
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight] Bullet - Stomp
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight] Tail
[Crucible Knight] Big Tail
[Crucible Knight] Big Tail
[Crucible Knight] Bullet - Fire Breath
[Crucible Knight] Bullet - Fire Breath Back
[Crucible Knight] Bullet - Fire Breath Back
[Crucible Knight] Bullet - Fire Breath Back
[Crucible Knight] Flying Tackle
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight] Two Hand
[Crucible Knight] Double Spin
[Crucible Knight] Double Spin
[Crucible Knight]
[Crucible Knight] Bullet
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight]
[Crucible Knight]
[Crucible Knight] Bullet
[Crucible Knight]
[Crucible Knight]
[Crucible Knight]
[Crucible Knight] Grab
[Crucible Knight] Grab
[Crucible Knight] Grab
[Crucible Knight] Grab
[Crucible Knight] Horn Charge
[Crucible Knight] Horn Charge
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight] Bullet
[Crucible Knight] Horn Charge
[Crucible Knight]
[Crucible Knight] Bullet
[Crucible Knight] Grab Damage
[Crucible Knight] Guard
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier] Bullet - Firebomb
[Exile Soldier] Bullet
[Exile Soldier] Bullet - Firebomb
[Exile Soldier] Bullet
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier] Guard
[Exile Soldier] Bullet - Bolt
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier] Guard
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier]
[Exile Soldier] Bullet
[Exile Soldier]
[Exile Soldier] Bullet - Firebomb
[Exile Soldier]
[Exile Soldier]
[Exile Soldier] Bullet - Wind Sword
[Banished Knight] Sword
[Banished Knight] Sword
[Banished Knight] Sword
[Banished Knight] Shield
[Banished Knight] Shield
[Banished Knight] Bullet
[Banished Knight] Bullet
[Banished Knight] Sword
[Banished Knight] Sword
[Banished Knight] Sword
[Banished Knight] Sword
[Banished Knight] Shield
[Banished Knight] Shield
[Banished Knight] Bullet
[Banished Knight] Shield
[Banished Knight] Parry
[Banished Knight]
[Banished Knight] Bullet
[Banished Knight] Shield
[Banished Knight] Shield
[Banished Knight] Bullet
[Banished Knight] Bullet
[Banished Knight] Shield
[Banished Knight] Shield
[Banished Knight] Bullet
[Banished Knight] Shield
[Banished Knight] Bullet
[Banished Knight] Shield
[Banished Knight] Bullet
[Banished Knight] Bullet
[Banished Knight] Guard
[Banished Knight] Dual Sword 2
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 2
[Banished Knight] Dual Sword 2
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 2
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 12
[Banished Knight] Bullet
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 2
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 2
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 2
[Banished Knight] Dual Sword 1
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 12
[Banished Knight] Dual Sword 12
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Bullet
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Bullet
[Banished Knight] Bullet
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Bullet
[Banished Knight] Bullet
[Banished Knight] Bullet
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Halberd
[Banished Knight] Bullet
[Banished Knight] Bullet
[Banished Knight] Halberd
[Banished Knight] Bullet
[Banished Knight] Halberd
[Banished Knight] Bullet
[Large Exile Soldier]
[Large Exile Soldier]
[Large Exile Soldier]
[Large Exile Soldier]
[Large Exile Soldier]
[Large Exile Soldier]
[Large Exile Soldier]
[Commander] Halberd
[Commander] Kick
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander]
[Commander]
[Commander] Halberd
[Commander] Lightning Kick
[Commander] Lightning AoE
[Commander] Halberd Charge Spin
[Commander] Halberd Charge
[Commander] Halberd Charge Upper
[Commander]
[Commander] Lightning Kick
[Commander] Lightning AoE
[Commander] Lightning Kick
[Commander] Lightning AoE
[Commander] Lightning Kick
[Commander] Lightning AoE
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd Big Spin
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander] Halberd
[Commander] Bullet
[Commander] Bullet

[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Commander] Bullet
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Giant Beast Skeleton] Bullet
[Giant Beast Skeleton]
[Giant Beast Skeleton]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant] Bullet
[Dominula Celebrant] Bullet
[Dominula Celebrant] Bullet
[Dominula Celebrant] Bullet
[Dominula Celebrant] Bullet
[Dominula Celebrant] Bullet
[Dominula Celebrant] Bullet
[Dominula Celebrant] Bullet
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant] Bullet
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant] Bullet
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant]
[Dominula Celebrant] Bullet
[Dominula Celebrant] Bullet
[Imp]
[Imp]
[Imp]
[Imp]
[Imp]
[Imp]
[Imp]
[Imp] Bullet - Throwing Knife
[Imp] Bullet - Throwing Knife
[Imp] Grab
[Imp] Bullet
[Imp]
[Imp] Bullet
[Imp] Bullet
[Imp] Bullet
[Imp]
[Imp]
[Imp]
[Imp]
[Imp]
[Imp]
[Imp]
[Imp]
[Imp]
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] Shield
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] Grab
[Elemer of the Briar] Grab Damage
[Elemer of the Briar] S1
[Elemer of the Briar] Shield
[Elemer of the Briar] Shield Pullup
[Elemer of the Briar] Shield Charge
[Elemer of the Briar] Guard
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] Return Swipe
[Elemer of the Briar] S1
[Elemer of the Briar] S1
[Elemer of the Briar] Blender
[Elemer of the Briar] Blender Final
[Elemer of the Briar] Ranged Blender
[Elemer of the Briar] Ranged Blender Final
[Elemer of the Briar] S1
[Elemer of the Briar] Magic Sword
[Elemer of the Briar]
[Elemer of the Briar] S1
[Elemer of the Briar] Shield Slam Ground AoE

[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry]
[Night's Cavalry] Bullet
[Night's Cavalry] Horse Summon Shockwave
[Night's Cavalry] Bullet
[Night's Cavalry] AoE
[Funeral Steed]
[Funeral Steed]
[Funeral Steed] Feet
[Funeral Steed] Bash
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
[Albinauric Archer] Bullet
